Activity Id;Date;Type;Route Name;Distance (km);Duration;Average Pace;Average Speed (km/h);Calories Burned;Climb (m);Average Heart Rate (bpm);Friend's Tagged;Notes;GPX File
dcfc8da4-1947-45bd-8a3f-92bf022ff5ae;07.10.2015 19:06;Running;Acropolis run;2.01;12:20;06:08;9.77;154;48;151;;;2015-10-07-190602.gpx
fc91c924-bcc4-49fb-8037-7ee68aa5c0c5;22.04.2013 03:30;Running;;4.54;27:55:00;06:09;9.75;286;39;130;;;2013-04-22-033050.gpx
efd882b7-661d-4676-8af4-4ba88b535e8e;27.06.2013 04:28;Running;;21.1;02:09:42;06:09;9.76;1314;165;112;;;2013-06-27-042851.gpx
be612d43-296d-45e2-adde-9fcb6495c43f;19.05.2013 02:19;Running;;4.88;30:01:00;06:09;9.76;310;46;159;;;2013-05-19-021936.gpx
ea28f417-61dd-4533-b9c8-12e6e179e07b;06.10.2011 04:57;Running;;3.09;19:00;06:09;9.76;200;14;132;;;2011-10-06-045700.gpx
998f74bc-1f9f-4297-baa7-67f79a99c039;27.10.2012 12:03;Running;;8.92;55:02:00;06:10;9.73;571;56;143;;My first competition: Cross Lauf Berlin over 9km. Pretty good, time ok. ;2012-10-27-120324.gpx
082155e9-3447-4790-a704-c0668e39dc80;17.10.2014 07:03;Running;;3.51;21:43;06:11;9.7;236.8706274;486;157;;;2014-10-17-070320.gpx
3f13b148-ba1c-427e-86c3-2c55d501800e;18.12.2017 07:36;Running;;3.14;19:23;06:11;9.71;210;19;115;;;2017-12-18-073615.gpx
e1a49b61-a5e6-4587-95c0-f855dbc2417c;08.12.2015 14:40;Cycling;;55.83;05:45:00;06:11;9.71;1640;257;;;;2015-12-08-144000.gpx
2d970271-0add-4cc2-bc28-579e3d061dfe;28.07.2014 00:13;Running;;5.81;35:55:00;06:11;9.71;243;22;144;;;2014-07-28-001327.gpx
7db55388-6e8d-4def-8acf-6c4bdccc70cf;22.06.2014 01:14;Running;;5.13;31:41:00;06:11;9.71;330;45;146;;;2014-06-22-011440.gpx
df2e3a9d-bae4-4aa5-a305-754206270c24;29.06.2013 02:19;Running;;5.1;31:33:00;06:11;9.71;323;46;153;;;2013-06-29-021904.gpx
65fcd980-9df6-4d88-ad2a-671461a72149;29.10.2012 21:04;Running;;11.03;01:08:11;06:11;9.71;706;90;137;;;2012-10-29-210403.gpx
03822099-d68e-4945-9320-9110b2880698;21.07.2014 01:11;Running;;5.23;32:26:00;06:12;9.66;338;54;116;;;2014-07-21-011157.gpx
a06c0a1d-b5e0-43a5-bdca-4c734026dd13;06.01.2015 06:22;Running;;3.28;20:20;06:12;9.67;224.0879381;105;146;;;2015-01-06-062212.gpx
0afac6c1-8ac9-4801-9ae2-b0a620242f2b;05.05.2013 23:17;Running;;5.12;31:45:00;06:12;9.67;299;54;146;;;2013-05-05-231714.gpx
810a4888-b452-48ed-8803-b5695dbe5590;23.11.2011 05:23;Running;;10;01:02:03;06:12;9.67;706;3;134;;First 10k. Yess! Went fine, but right leg hurt and several breaks. But I didn't puke! YEA!;2011-11-23-052300.gpx
50d3e31b-42fa-4685-8e4f-f016c7c46c8c;10.10.2011 04:44;Running;;3.7;22:59;06:12;9.67;233;19;136;;Went well, no breaks, but neck hurts.;
b229afe6-69de-43e9-8796-c0adf70b8b67;28.10.2016 09:36;Cycling;;1.79;11:04;06:12;9.68;48;2;;;;2016-10-28-093650.gpx
759fe870-3e1e-4cab-a680-1e09393d0a5d;06.11.2012 20:05;Running;;13;01:20:36;06:12;9.68;825;77;157;;;2012-11-06-200535.gpx
905ae74c-d447-4ca1-bc99-4700d1a17de8;03.12.2014 06:22;Running;;4.99;31:01:00;06:13;9.65;349.7793346;32;138;;;2014-12-03-062239.gpx
152fa88c-4e28-46e9-be17-60bd475acc4a;20.03.2017 21:06;Running;;11.24;01:10:08;06:14;9.62;812;272;131;;;2017-03-20-210629.gpx
